proxy,status
50.218.57.74:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF884500D0>, 'Connection to 50.218.57.74 timed out. (connect timeout=5)'))"
50.173.140.149:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88613610>, 'Connection to 50.173.140.149 timed out. (connect timeout=5)'))"
50.168.163.177:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF8845F590>, 'Connection to 50.168.163.177 timed out. (connect timeout=5)'))"
107.1.93.214:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF8863A190>, 'Connection to 107.1.93.214 timed out. (connect timeout=5)'))"
50.168.163.166:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88639B10>, 'Connection to 50.168.163.166 timed out. (connect timeout=5)'))"
50.227.121.33:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88639150>, 'Connection to 50.227.121.33 timed out. (connect timeout=5)'))"
50.173.140.151:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88600E10>, 'Connection to 50.173.140.151 timed out. (connect timeout=5)'))"
50.168.163.181:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88633810>, 'Connection to 50.168.163.181 timed out. (connect timeout=5)'))"
50.168.72.113:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF8857B950>, 'Connection to 50.168.72.113 timed out. (connect timeout=5)'))"
50.168.72.119:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF8857A450>, 'Connection to 50.168.72.119 timed out. (connect timeout=5)'))"
50.217.226.40:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88633310>, 'Connection to 50.217.226.40 timed out. (connect timeout=5)'))"
50.174.7.156:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885DEFD0>, 'Connection to 50.174.7.156 timed out. (connect timeout=5)'))"
20.210.113.32:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ProxyError('Cannot connect to proxy.', OSError('Tunnel connection failed: 403 Forbidden')))"
119.76.142.145:8080,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF8857B4D0>, 'Connection to 119.76.142.145 timed out. (connect timeout=5)'))"
